,channel,title,description,pub_date,mp3_url,article_url
1205071,Shimoda Watashi,シモダテツヤと私（ヨッピー）033「２代目 私 ヨッピー登場！」,シモダテツヤと私（ヨッピー）が始まりました。,2017-09-23 00:00:01,https://omocoro.heteml.net/radio/shimowata/033/033.mp3,https://omocoro.jp/radio/120507/
1215911,Shimoda Watashi,【スペシャルウィーク】 スーちゃんミーちゃんシーちゃん？ラジオ！,人気沸騰ご機嫌ラジオ【スーちゃんミーちゃんラジオ】になにやら誰かがやってきましたよ！yey！,2017-10-07 00:00:01,https://omocoro.heteml.net/radio/sp2/su-chan_mi-chan_shi-chan.mp3,https://omocoro.jp/radio/121591/
1218061,Shimoda Watashi,シモダテツヤと私（ヨッピー）034「人望なきイベントのレポ」,「人望なき男ヨッピー ハワイへ行く」イベントのレポートです。,2017-10-14 00:00:01,https://omocoro.heteml.net/radio/shimowata/034/034.mp3,https://omocoro.jp/radio/121806/
1234871,Shimoda Watashi,シモダテツヤと私（ヨッピー）035「あの、ざっくり政治全体の話をしていいですか？と聞くことで有名なヨッピーと話そう」,政治全体の話をヨッピーが語ります。,2017-10-28 00:00:01,https://omocoro.heteml.net/radio/shimowata/035/035.mp3,https://omocoro.jp/radio/123487/
1244831,Shimoda Watashi,シモダテツヤと私（ヨッピー）036「２位の男」,２位の男について語ります。,2017-11-11 00:00:01,https://omocoro.heteml.net/radio/shimowata/036/036.mp3,https://omocoro.jp/radio/124483/
1255281,Shimoda Watashi,シモダテツヤと私（ヨッピー）037「パワー系教育」,幼少期の教育について語ります。,2017-11-25 00:00:01,https://omocoro.heteml.net/radio/shimowata/037/037.mp3,https://omocoro.jp/radio/125528/
1269861,Shimoda Watashi,シモダテツヤと私（ヨッピー）038「他のおっさんて何して遊んでるのよ」,おっさん達の遊びについて語ります。,2017-12-09 00:00:01,https://omocoro.heteml.net/radio/shimowata/038/038.mp3,https://omocoro.jp/radio/126986/
1282591,Shimoda Watashi,シモダテツヤと私（ヨッピー）039「知らないフリして聞いてみた」,ヨッピーが例の話について語ります。,2017-12-23 00:00:01,https://omocoro.heteml.net/radio/shimowata/039/039.mp3,https://omocoro.jp/radio/128259/
1297371,Shimoda Watashi,シモダテツヤと私（ヨッピー）040「怒るタイミングってどこぞや？」,怒るタイミングについて語ります。,2018-01-13 00:00:01,https://omocoro.heteml.net/radio/shimowata/040/040.mp3,https://omocoro.jp/radio/129737/
1309631,Shimoda Watashi,シモダテツヤと私（ヨッピー）041「モンゴルナイフのケツに鉄」,新入社員のモンゴルナイフについて語ります。,2018-01-27 00:00:01,https://omocoro.heteml.net/radio/shimowata/041/041.mp3,https://omocoro.jp/radio/130963/
1321281,Shimoda Watashi,シモダテツヤと私（ヨッピー）042「モンゴルのお漏らし」,またまた、新入社員のモンゴルナイフについて語ります。,2018-02-10 00:00:01,https://omocoro.heteml.net/radio/shimowata/042/042.mp3,https://omocoro.jp/radio/132128/
1332441,Shimoda Watashi,シモダテツヤと私（ヨッピー）043「初海外にローラースケートで挑む男」,海外旅行について語ります。,2018-02-24 00:00:01,https://omocoro.heteml.net/radio/shimowata/043/043.mp3,https://omocoro.jp/radio/133244/
1343391,Shimoda Watashi,シモダテツヤと私（ヨッピー）044「売名王ヨッピー、バスツアーに行く」,ヨッピーが例のバスツアーについて語ります。,2018-03-10 00:00:01,https://omocoro.heteml.net/radio/shimowata/044/044.mp3,https://omocoro.jp/radio/134339/
1353581,Shimoda Watashi,シモダテツヤと私（ヨッピー）045「スポーツ大嫌い人間」,スポーツ大嫌い人間について語ります。,2018-03-24 00:00:01,https://omocoro.heteml.net/radio/shimowata/045/045.mp3,https://omocoro.jp/radio/135358/
1368321,Shimoda Watashi,シモダテツヤと私（ヨッピー）046「モンハンの話」,モンハンについて語ります。,2018-04-07 00:00:01,https://omocoro.heteml.net/radio/shimowata/046/046.mp3,https://omocoro.jp/radio/136832/
1381931,Shimoda Watashi,シモダテツヤと私（ヨッピー）047「シモダのレーシック手術とヨッピーの整形手術」,シモダのレーシック手術とヨッピーの整形手術について語ります。,2018-04-21 00:00:01,https://omocoro.heteml.net/radio/shimowata/047/047.mp3,https://omocoro.jp/radio/138193/
1399591,Shimoda Watashi,シモダテツヤと私（ヨッピー）048「立ち上げろ！ヨッピー党！！」,ゲストに地獄のミサワが登場しております。,2018-05-12 00:00:01,https://omocoro.heteml.net/radio/shimowata/048/048.mp3,https://omocoro.jp/radio/139959/
1399951,Shimoda Watashi,シモダテツヤと私（ヨッピー）049「漫画稼業とヨッピー愛の話」,再びゲストに地獄のミサワが登場しています。,2018-05-26 00:00:01,https://omocoro.heteml.net/radio/shimowata/049/049.mp3,https://omocoro.jp/radio/139995/
1400011,Shimoda Watashi,シモダテツヤと私（ヨッピー）050「シモダが怒る！やっぱスポーツ大嫌い！」,シモダが再びスポーツ嫌いについて語ります。3回続けてゲストは地獄のミサワ。,2018-06-09 00:00:01,https://omocoro.heteml.net/radio/shimowata/050/050.mp3,https://omocoro.jp/radio/140001/
1440371,Shimoda Watashi,シモダテツヤと私（ヨッピー）051「整形その後どうなったの？」,ヨッピーの整形後について語ります。,2018-06-23 00:00:01,https://omocoro.heteml.net/radio/shimowata/051/051.mp3,https://omocoro.jp/radio/144037/
1454371,Shimoda Watashi,シモダテツヤと私（ヨッピー）052「YPの裏歌舞伎町ツアー体験談」,ヨッピーが裏歌舞伎町ツアーについて語ります。,2018-07-07 00:00:01,https://omocoro.heteml.net/radio/shimowata/052/052.mp3,https://omocoro.jp/radio/145437/
1467311,Shimoda Watashi,シモダテツヤと私（ヨッピー）053「疫病ヨッピーのボッチラジオ」,シモダが病欠のためヨッピーがぼっちで語ります。,2018-07-21 00:00:01,https://omocoro.heteml.net/radio/shimowata/053/053.mp3,https://omocoro.jp/radio/146731/
1484331,Shimoda Watashi,シモダテツヤと私（ヨッピー）054「ケツグルメ」,ケツグルメについて語ります。,2018-08-04 00:00:01,https://omocoro.heteml.net/radio/shimowata/054/054.mp3,https://omocoro.jp/radio/148433/
1491661,Shimoda Watashi,シモダテツヤと私（ヨッピー）055「草むしりと知らない若者」,シモダが草むしりについて語ります。,2018-08-18 00:00:01,https://omocoro.heteml.net/radio/shimowata/055/055.mp3,https://omocoro.jp/radio/149166/
1506461,Shimoda Watashi,シモダテツヤと私（ヨッピー）056「みくのしんを分析したら」,シモダとヨッピーがみくのしんについて語ります。,2018-09-01 00:00:01,https://omocoro.heteml.net/radio/shimowata/056/056.mp3,https://omocoro.jp/radio/150646/
1523101,Shimoda Watashi,シモダテツヤと私（ヨッピー）057「骨でできたBAR」,シモダとヨッピーが夏の過ごし方について語ります。,2018-09-15 00:00:01,https://omocoro.heteml.net/radio/shimowata/057/057.mp3,https://omocoro.jp/radio/152310/
1539841,Shimoda Watashi,シモダテツヤと私（ヨッピー）058「【最終回】隠しごと天下一武道会」,シモダとヨッピーが隠し事を語ります。,2018-09-29 00:00:01,https://omocoro.heteml.net/radio/shimowata/058/058.mp3,https://omocoro.jp/radio/153984/
