,channel,title,description,pub_date,mp3_url,episode_url
411492,Ari Ari,ありっちゃありスパーク・梵024「ダブル老眼鏡ラジオへの足音」,ヒタヒタヒタヒタ……,2023-08-14,https://omocoro.heteml.net/radio/aribon/024/bon024.mp3,https://omocoro.jp/radio/411492/
409915,Ari Ari,ありっちゃありスパーク・梵023「世界でいちばん美味い虫」,虫って美味しいから食べるのかも,2023-08-07,https://omocoro.heteml.net/radio/aribon/023/bon023.mp3,https://omocoro.jp/radio/409915/
408158,Ari Ari,ありっちゃありスパーク・梵022「無言の父たち、そしてヨーグルト食べ比べ」,無言のその次へ,2023-07-31,https://omocoro.heteml.net/radio/aribon/022/bon022.mp3,https://omocoro.jp/radio/408158/
407095,Ari Ari,ありっちゃありスパーク・梵021「生バンドカラオケでフィーバーした男」,伝説のバンドが誕生した一夜,2023-07-24,https://omocoro.heteml.net/radio/aribon/021/bon021.mp3,https://omocoro.jp/radio/407095/
406147,Ari Ari,ありっちゃありスパーク・梵020「人生を彩るあの事件～コバエの影武者事件～」,君もいつかはサウダることでしょう,2023-07-17,https://omocoro.heteml.net/radio/aribon/020/bon020.mp3,https://omocoro.jp/radio/406147/
405175,Ari Ari,ありっちゃありスパーク・梵019「人はなぜマツケンサンバ2に涙するのか」,もう帰らない、でも確かにあったあの日,2023-07-10,https://omocoro.heteml.net/radio/aribon/019/bon019.mp3,https://omocoro.jp/radio/405175/
404520,Ari Ari,ありっちゃありスパーク・梵018「さぬきうどんはやっぱり美味い～原宿の香川一泊二日ランキングベスト5～」,神話となれ、須崎食料品店。,2023-07-03,https://omocoro.heteml.net/radio/aribon/018/bon018.mp3,https://omocoro.jp/radio/404520/
403823,Ari Ari,ありっちゃありスパーク・梵017「声が少しうるさかったようですごめんなさい反省スペシャル」,ヤマザキビスケットの新作パインパックを食べようとした矢先……,2023-06-26,https://omocoro.heteml.net/radio/aribon/017/bon017.mp3,https://omocoro.jp/radio/403823/
402493,Ari Ari,ありっちゃありスパーク・梵016「伊右衛門と綾鷹の違いに改めて向き合いたい」,いちばんおにぎりに合うお茶とは、果たして！,2023-06-19,https://omocoro.heteml.net/radio/aribon/016/bon016.mp3,https://omocoro.jp/radio/402493/
401700,Ari Ari,ありっちゃありスパーク・梵015「15.5万いいねの男、凱旋パレードラジオ」,あの男が帰ってくる,2023-06-12,https://omocoro.heteml.net/radio/aribon/015/bon015.mp3,https://omocoro.jp/radio/401700/
400270,Ari Ari,ありっちゃありスパーク・梵014「君はミスドのエビグラタンを食べたか」,ミスドのパイってぶっちゃけどうなの？,2023-06-05,https://omocoro.heteml.net/radio/aribon/014/bon014.mp3,https://omocoro.jp/radio/400270/
398701,Ari Ari,ありっちゃありスパーク・梵013「ダムとカツアゲ」,気をつけよう、40越えてもカツアゲはされかかる,2023-05-29,https://omocoro.heteml.net/radio/aribon/013/bon013.mp3,https://omocoro.jp/radio/398701/
397543,Ari Ari,ありっちゃありスパーク・梵012「かりそめ天国あざす！ あざす！！！！！！！」,売れたといっても過言ではない！！！！！！！！！！！！,2023-05-22,https://omocoro.heteml.net/radio/aribon/012/bon012.mp3,https://omocoro.jp/radio/397543/
396634,Ari Ari,ありっちゃありスパーク・梵011「7周年にバスク・ガストロノミーもありっちゃあり」,ありっちゃありスパークを始めて丸7年が経過！お祝いにごっつい料理を食べました。,2023-05-15,https://omocoro.heteml.net/radio/aribon/011/bon011.mp3,https://omocoro.jp/radio/396634/
395607,Ari Ari,ありっちゃありスパーク・梵010「ありっちゃシネマウォーズ・ちびまる子ちゃん『わたしの好きな歌』」,まるちゃんも家父長制！？,2023-05-08,https://omocoro.heteml.net/radio/aribon/010/bon010.mp3,https://omocoro.jp/radio/395607/
394909,Ari Ari,ありっちゃありスパーク・梵009「名古屋ランキングBEST5　～室木おすしが見た天国～」,名古屋での様々な初体験が室木おすしを襲う！,2023-05-01,https://omocoro.heteml.net/radio/aribon/009/bon009.mp3,https://omocoro.jp/radio/394909/
