,channel,title,description,pub_date,mp3_url,article_url
1089151,Kama Miku,【001】かまってみくのしん「ただいま、オモコロ。」,【音量注意】新しくラジオ始めます！！よろしくお願いします！！,2017-05-07,https://omocoro.heteml.net/radio/kamamicu/001/001.mp3,https://omocoro.jp/rensai/108915/
1098061,Kama Miku,【002】かまってみくのしん「今日から俺は京都の人になる」,ありがとう、京都。本当に………本当に……「ありがとう」…。それしか言う言葉が見つからない…,2017-05-14,https://omocoro.heteml.net/radio/kamamicu/002/002.mp3,https://omocoro.jp/rensai/109806/
1104341,Kama Miku,【003】かまってみくのしん「ハレグゥのOPでかまどは踊る」,「ジャングルはいつもハレのちグゥ」と「かまってみくのしん」ってタイトルの作り似てるなぁ！！,2017-05-21,https://omocoro.heteml.net/radio/kamamicu/003/003.mp3,https://omocoro.jp/rensai/110434/
1108511,Kama Miku,【004】かまってみくのしん「それぞれのお母さん」,…ばいっ！,2017-05-28,https://omocoro.heteml.net/radio/kamamicu/004/004.mp3,https://omocoro.jp/rensai/110851/
1114261,Kama Miku,【005】かまってみくのしん「イニシエーション・ラジオ」,最後の20分全てが覆る。あなたは必ず途中で消す。,2017-06-04,https://omocoro.heteml.net/radio/kamamicu/005/005.mp3,https://omocoro.jp/rensai/111426/
1119861,Kama Miku,【006】かまってみくのしん「かまど誕生日おめでとう！！クイズ大会！！」,みくのしん持ち込み企画！かまどは何問答えられるかな！？,2017-06-11,https://omocoro.heteml.net/radio/kamamicu/006/006.mp3,https://omocoro.jp/rensai/111986/
1127031,Kama Miku,【007】かまってみくのしん「人見知りとお調子者のオモコロ合宿」,旅先なのに一人で部屋にこもって自分のラジオを聴いたり、勝手に調子に乗って勝手に落ち込んだり、オモコロ合宿で起こった事をぼくら目線で話します！,2017-06-18,https://omocoro.heteml.net/radio/kamamicu/007/007.mp3,https://omocoro.jp/radio/112703/
1132021,Kama Miku,【008】かまってみくのしん「みんな大好きパワプロクンポケット回！」,遂にやってきたパワポケ回！みんなはついてこれるかな！？,2017-06-25,https://omocoro.heteml.net/radio/kamamicu/008/008.mp3,https://omocoro.jp/radio/113202/
1135981,Kama Miku,【009】かまってみくのしん「みくのしんは人の話を聞くことすらも出来ない」,どうしようもないメールを読んでる時が一番楽しいんです。今回はそんな回でもあります。,2017-07-02,https://omocoro.heteml.net/radio/kamamicu/009/009.mp3,https://omocoro.jp/radio/113598/
1144221,Kama Miku,【010】かまってみくのしん「クセになってんだ、かまみく録るの」,みくのしんが第20回に行う落語の演目を決めます！！,2017-07-09,https://omocoro.heteml.net/radio/kamamicu/010/010.mp3,https://omocoro.jp/radio/114422/
1147631,Kama Miku,【011】かまってみくのしん「企画工場長みくのしん」,新しくコーナーが増えました！！皆さんドシドシご応募の方お待ちしております！！！！！！！,2017-07-16,https://omocoro.heteml.net/radio/kamamicu/011/011.mp3,https://omocoro.jp/radio/114763/
1154031,Kama Miku,【012】かまってみくのしん「かまみく罰金制度導入」,1000円,2017-07-23,https://omocoro.heteml.net/radio/kamamicu/012/012.mp3,https://omocoro.jp/radio/115403/
1157241,Kama Miku,【013】かまってみくのしん「新コーナー廃棄処分スペシャル」,新しく出来たコーナーをもう、処分します。,2017-07-30,https://omocoro.heteml.net/radio/kamamicu/013/013.mp3,https://omocoro.jp/radio/115724/
1164371,Kama Miku,【014】かまってみくのしん「一万円の、重み。」,一万円って重いんです…,2017-08-06,https://omocoro.heteml.net/radio/kamamicu/014/014.mp3,https://omocoro.jp/radio/116437/
1169551,Kama Miku,【015】かまってみくのしん「罰金の事をチャンスと言う男」,人の罰金を半分払いたい男と、それは乗らない男。,2017-08-13,https://omocoro.heteml.net/radio/kamamicu/015/015.mp3,https://omocoro.jp/radio/116955/
1174891,Kama Miku,【016】かまってみくのしん「オレ達から貴方への鎮魂歌です」,キルアさん、聞こえますか？,2017-08-20,https://omocoro.heteml.net/radio/kamamicu/016/016.mp3,https://omocoro.jp/radio/117489/
1181631,Kama Miku,【017】かまってみくのしん「たかやのオールナイトニッポンエバーグリーン」,今回のかまってみくのしんは、あの「たかやのオールナイトニッポンエバーグリーン」第52本目が収録されています！！！,2017-08-27,https://omocoro.heteml.net/radio/kamamicu/017/017.mp3,https://omocoro.jp/radio/118163/
1187281,Kama Miku,【018】かまってみくのしん「大成功！みくのしんブチギレドッキリ」,いつも何かしら募集してるわ、このラジオ,2017-09-03,https://omocoro.heteml.net/radio/kamamicu/018/018.mp3,https://omocoro.jp/radio/118728/
1192821,Kama Miku,【019】かまってみくのしん「みくのしんvsかまど開戦」,人様に迷惑をかけ続ける人非人「みくのしん」と品行方正で清廉潔白で聖人君子な「かまど」罰を受けるべきなのはどっちだ！,2017-09-10,https://omocoro.heteml.net/radio/kamamicu/019/019.mp3,https://omocoro.jp/radio/119282/
1200411,Kama Miku,【020】かまってみくのしん「わっしょい！オモコロ！ラジオ祭」,先日のオモコロラジオイベントの思い出を記録します,2017-09-17,https://omocoro.heteml.net/radio/kamamicu/020/020.mp3,https://omocoro.jp/radio/120041/
1205571,Kama Miku,【021】かまってみくのしん「大喜利王みくのしん」,隣の部屋のやつ熱唱しすぎじゃない？,2017-09-24,https://omocoro.heteml.net/radio/kamamicu/021/021.mp3,https://omocoro.jp/radio/120557/
1208851,Kama Miku,【スペシャルウィーク】恐山・かまどのシャッフルコンビラジオ,パーソナリティをシャッフルしてお届けするスペシャルウィーク「シャッフルコンビラジオ」。月曜日は「匿名ラジオ」のダ・ヴィンチ・恐山と、「かまってみくのしん！」のかまどが自身の「人見知り」について語ります。,2017-10-02,https://omocoro.heteml.net/radio/sp2/kamado_osorezan.mp3,https://omocoro.jp/rensai/120885/
1209211,Kama Miku,【022】かまってみくのしん「さよなら大喜利王」,二度と大喜利なんて口にすんな！,2017-10-01,https://omocoro.heteml.net/radio/kamamicu/022/022.mp3,https://omocoro.jp/radio/120921/
1215911,Kama Miku,【スペシャルウィーク】 スーちゃんミーちゃんシーちゃん？ラジオ！,人気沸騰ご機嫌ラジオ【スーちゃんミーちゃんラジオ】になにやら誰かがやってきましたよ！yey！,2017-10-07,https://omocoro.heteml.net/radio/sp2/su-chan_mi-chan_shi-chan.mp3,https://omocoro.jp/radio/121591/
1216821,Kama Miku,【023】かまってみくのしん「天使か悪魔か永田さん、そして『大喧嘩』」,331,2017-10-15,https://omocoro.heteml.net/radio/kamamicu/023/023.mp3,https://omocoro.jp/radio/121682/
1232301,Kama Miku,【024】かまってみくのしん「みくのしん軍団大集合SP、そして『３人目』」,439,2017-10-22,https://omocoro.heteml.net/radio/kamamicu/024/024.mp3,https://omocoro.jp/radio/123230/
1232302,Kama Miku,【024】かまってみくのしん「みくのしん軍団大集合SP、そして『３人目』」,439,2017-10-22,https://omocoro.heteml.net/radio/kamamicu/024/024goki.mp3,https://omocoro.jp/radio/123230/
1235931,Kama Miku,【025】かまってみくのしん「凸ノさんの堪忍袋」,凸ノさんに見放されたらマジで終わり,2017-10-29,https://omocoro.heteml.net/radio/kamamicu/025/025.mp3,https://omocoro.jp/radio/123593/
1238541,Kama Miku,【026】かまってみくのしん「みくのしん・マキヤの情弱ラジオ」,みくのしん軍団強化月間。第一週目はマキヤさんとの情弱ラジオです。楽しかったー。,2017-11-05,https://omocoro.heteml.net/radio/kamamicu/026/026.mp3,https://omocoro.jp/radio/123854/
1244921,Kama Miku,【027】かまってみくのしん「みくのしん・たかやのラジオ”象”」,みくのしん軍団強化月間。第二週目は「みくのしん・たかやのラジオ”象”」です。皆さん、象が死んだ所を見たことありますか？,2017-11-12,https://omocoro.heteml.net/radio/kamamicu/027/027.mp3,https://omocoro.jp/radio/124492/
1250891,Kama Miku,【028】かまってみくのしん「みくのしん・神田のラジオ”芋”」,みくのしん軍団強化月間。第三週目は「みくのしん・神田のラジオ”芋”」です。KIRIMIちゃんをこよなく愛し、半ナマのおじゃがを食べて生活していた神田くん。どうですか、奥さん。,2017-11-19,https://omocoro.heteml.net/radio/kamamicu/028/028.mp3,https://omocoro.jp/radio/125089/
1255191,Kama Miku,【029】かまってみくのしん「みくちゃん長ちゃんのドキドキ登山ラジオ！」,みくのしん軍団強化月間。第四週目は「みくちゃん長ちゃんのドキドキ登山ラジオ！」です。アラサー男の二人が高尾山を登りながら話してるだけです。はい、公私混同です。,2017-11-26,https://omocoro.heteml.net/radio/kamamicu/029/029.mp3,https://omocoro.jp/radio/125519/
1255261,Kama Miku,【030】かまってみくのしん「MiCU&YAMA THE RADIO」,みくのしん軍団強化月間。第五週目のラストを飾るのは「MiCU&YAMA THE RADIO」です。他に言う事は特にありません。,2017-12-03,https://omocoro.heteml.net/radio/kamamicu/030/030.mp3,https://omocoro.jp/radio/125526/
1270381,Kama Miku,【031】かまってみくのしん「これからもラジオがんばルージュラ」,【豆知識】5週間は長い,2017-12-10,https://omocoro.heteml.net/radio/kamamicu/031/031.mp3,https://omocoro.jp/radio/127038/
1275111,Kama Miku,【032】かまってみくのしん「月が綺麗ですね」,文字そば書けね〜！！！！,2017-12-17,https://omocoro.heteml.net/radio/kamamicu/032/032.mp3,https://omocoro.jp/radio/127511/
1284221,Kama Miku,【033】かまってみくのしん「それはまるでフェスの時間割のように」,もうみくのしんとお酒飲みにいかない,2017-12-24,https://omocoro.heteml.net/radio/kamamicu/033/033.mp3,https://omocoro.jp/radio/128422/
1290101,Kama Miku,【034】かまってみくのしん「さよなら2017年」,今年も１年お世話になりました！,2017-12-31,https://omocoro.heteml.net/radio/kamamicu/034/034.mp3,https://omocoro.jp/radio/129010/
1290871,Kama Miku,【035】かまってみくのしん「正月を１０００倍おめでたくするためにサツマイモを光らせてみた」,ラジオ「かまってみくのしん」を今年もよろしくお願いします。,2018-01-01,https://omocoro.heteml.net/radio/kamamicu/035/035.mp3,https://omocoro.jp/radio/129087/
1291201,Kama Miku,【036】かまってみくのしん「視点を変えてみよう」,ラジオ「かまってみくのしん」を今年もよろしくお願いします。,2018-01-02,https://omocoro.heteml.net/radio/kamamicu/036/036.mp3,https://omocoro.jp/radio/129120/
1291681,Kama Miku,【037】かまってみくのしん「【人体実験】ポケモンの状態異常ってどれが一番効果あるの？自分で試してみた」,ラジオ「かまってみくのしん」を今年もよろしくお願いします。,2018-01-03,https://omocoro.heteml.net/radio/kamamicu/037/037.mp3,https://omocoro.jp/radio/129168/
1292691,Kama Miku,【038】かまってみくのしん「スタンガンで電気を流せば食事をもっと楽しめるのでは？」,ラジオ「かまってみくのしん」を今年もよろしくお願いします。,2018-01-04,https://omocoro.heteml.net/radio/kamamicu/038/038.mp3,https://omocoro.jp/radio/129269/
1293381,Kama Miku,【039】かまってみくのしん「王の器」,ラジオ「かまってみくのしん」を今年もよろしくお願いします。,2018-01-05,https://omocoro.heteml.net/radio/kamamicu/039/039.mp3,https://omocoro.jp/radio/129338/
1293791,Kama Miku,【040】かまってみくのしん「みくのしん殺人事件」,ラジオ「かまってみくのしん」を今年もよろしくお願いします。,2018-01-06,https://omocoro.heteml.net/radio/kamamicu/040/040.mp3,https://omocoro.jp/radio/129379/
1294071,Kama Miku,【041】かまってみくのしん「みくのしんのワクワク忘年旅行」,もうみくのしんと旅行いかない,2018-01-07,https://omocoro.heteml.net/radio/kamamicu/041/041.mp3,https://omocoro.jp/radio/129407/
1297501,Kama Miku,【042】かまってみくのしん「心理テスト『この中で一番悪いのは誰？』」,この心理テスト、知らない人まだいたんだね,2018-01-14,https://omocoro.heteml.net/radio/kamamicu/042/042.mp3,https://omocoro.jp/radio/129750/
1301491,Kama Miku,【043】かまってみくのしん「季節はずれの男」,努力を忘れた男の涙は汚い,2018-01-21,https://omocoro.heteml.net/radio/kamamicu/043/043.mp3,https://omocoro.jp/radio/130149/
1309811,Kama Miku,【044】かまってみくのしん「落語の話をしよう」,落語初心者は「午後の保健室」をまず聞こう！,2018-01-28,https://omocoro.heteml.net/radio/kamamicu/044/044.mp3,https://omocoro.jp/radio/130981/
1313011,Kama Miku,【045】かまってみくのしん「あったけぇ…」,食い物を褒めるのは難しい,2018-02-04,https://omocoro.heteml.net/radio/kamamicu/045/045.mp3,https://omocoro.jp/radio/131301/
1321551,Kama Miku,【046】かまってみくのしん「寅さん・もつ煮込み・春風亭昇太」,マジで凄まじい落語を見た話,2018-02-11,https://omocoro.heteml.net/radio/kamamicu/046/046.mp3,https://omocoro.jp/radio/132155/
1327761,Kama Miku,【047】かまってみくのしん「ひとり上手」,私をおいて行かないでひとりが好きなわけじゃないのよ,2018-02-18,https://omocoro.heteml.net/radio/kamamicu/047/047.mp3,https://omocoro.jp/radio/132776/
1332691,Kama Miku,【048】かまってみくのしん「海外に行けば人は変わるのか」,生まれて初めて海外旅行に行ったとき、人は何を思うのか,2018-02-25,https://omocoro.heteml.net/radio/kamamicu/048/048.mp3,https://omocoro.jp/radio/133269/
1338301,Kama Miku,【049】かまってみくのしん「燃えないでゴーイングメリー号」,今週のかまってみくのしんは「みくのしん一人」です。,2018-03-04,https://omocoro.heteml.net/radio/kamamicu/049/049.mp3,https://omocoro.jp/radio/133830/
1343311,Kama Miku,【050】かまってみくのしん「PKサヨナラ！だ！ またいつか会おう！」,おれとおまえの たびは ここまでのようだな。ランマにかえって この けいけんを やくにたてるよ。,2018-03-11,https://omocoro.heteml.net/radio/kamamicu/050/050.mp3,https://omocoro.jp/radio/134331/
1347841,Kama Miku,【051】かまってみくのしん「君のメガネの曇りを拭いてあげたい」,あ…ネス　きみ　これ　よんじゃったね…トニーって　ねは　いいやつなんだよ。,2018-03-18,https://omocoro.heteml.net/radio/kamamicu/051/051.mp3,https://omocoro.jp/radio/134784/
1353701,Kama Miku,【052】かまってみくのしん「ネス、わたしを送っていってくれる？」,みんなと　おわかれするのは　さみしいけれどもとの　ただのこどもに　もどらなきゃね,2018-03-25,https://omocoro.heteml.net/radio/kamamicu/052/052.mp3,https://omocoro.jp/radio/135370/
1361681,Kama Miku,【終】かまってみくのしん「すっかり自分の用事は済んだのね？」,じゃあ ゆっくり あなたの おもいでをわけてもらうことにするわよくやったわね ネス。,2018-04-01,https://omocoro.heteml.net/radio/kamamicu/053/053no1.mp3,https://omocoro.jp/radio/136168/
1361682,Kama Miku,【終】かまってみくのしん「すっかり自分の用事は済んだのね？」,じゃあ ゆっくり あなたの おもいでをわけてもらうことにするわよくやったわね ネス。,2018-04-01,https://omocoro.heteml.net/radio/kamamicu/053/053no2.mp3,https://omocoro.jp/radio/136168/
1368391,Kama Miku,【001】かまってみくのしんGOLD「みくのしん元気出して！」,世界がみくのしんをいじめている,2018-04-08,https://omocoro.heteml.net/radio/kamamicu/g01/g01.mp3,https://omocoro.jp/radio/136839/
1376621,Kama Miku,【002】かまってみくのしんGOLD「耳栓が怖くて泣いた男」,え！？ やばい！！音が聞こえないよ！！！ うわああああ！！！！,2018-04-15,https://omocoro.heteml.net/radio/kamamicu/g02/g02.mp3,https://omocoro.jp/radio/137662/
1382131,Kama Miku,【003】かまってみくのしんGOLD「野田せいぞ」,「たかやみくのしんの使えない夜」にご来場くださった皆々様！ありがとうございました！！,2018-04-22,https://omocoro.heteml.net/radio/kamamicu/g03/g03.mp3,https://omocoro.jp/radio/138213/
1389321,Kama Miku,【004】かまってみくのしんGOLD「２本録り」,今回は２本録りでお送りします。ラスト15分はグロ注意です。,2018-04-29,https://omocoro.heteml.net/radio/kamamicu/g04/g04.mp3,https://omocoro.jp/radio/138932/
1392391,Kama Miku,【005】かまってみくのしんGOLD「嘘松」,これからのかまってみくのしんは嘘抜きでやらせていただきます。よろしくお願いいたします。,2018-05-06,https://omocoro.heteml.net/radio/kamamicu/g05/g05.mp3,https://omocoro.jp/radio/139239/
1400711,Kama Miku,【006】かまってみくのしんGOLD「ちっちぇえな」,よみがーーーーえーーーれーーーー！！！！,2018-05-13,https://omocoro.heteml.net/radio/kamamicu/g06/g06.mp3,https://omocoro.jp/radio/140071/
1407101,Kama Miku,【007】かまってみくのしんGOLD「ありがとライス！」,なぜか分かりませんが、やたらみくのしんがブチギレ声を出そうと頑張っている回です,2018-05-20,https://omocoro.heteml.net/radio/kamamicu/g07/g07.mp3,https://omocoro.jp/radio/140710/
1412921,Kama Miku,【008】かまってみくのしんGOLD「漫画犬とかまみく」,２時間半のイベントを２時間かけて振り返ります。,2018-05-27,https://omocoro.heteml.net/radio/kamamicu/g08/g08.mp3,https://omocoro.jp/radio/141292/
1419361,Kama Miku,【009】かまってみくのしんGOLD「悲痛な叫びコンテスト」,仕事に行く前の悲痛な叫びが聞けるスペシャル回！,2018-06-03,https://omocoro.heteml.net/radio/kamamicu/g09/g09.mp3,https://omocoro.jp/radio/141936/
1426321,Kama Miku,【010】かまってみくのしんGOLD「ボツと撮り直し」,ニセ恐山と山下ラジ男,2018-06-10,https://omocoro.heteml.net/radio/kamamicu/g10/g10.mp3,https://omocoro.jp/radio/142632/
1432451,Kama Miku,【011】かまってみくのしんGOLD「みくのしん Wants To Play」,全然怖くないホラー回です,2018-06-17,https://omocoro.heteml.net/radio/kamamicu/g11/g11.mp3,https://omocoro.jp/radio/143245/
