,channel,title,description,pub_date,mp3_url,article_url
3613911,NOW,ニュース！オモコロウォッチ！特別編「キアヌたれ ～stand fmに過去ログ移行したのでよろしくね絵巻～」,オモコロ編集部がニュースについて語るラジオです。,2022-09-09,https://omocoro.heteml.net/radio/watch/watch000.mp3,https://omocoro.jp/radio/361391/
3797851,NOW,ニュース！オモコロウォッチ！001「無理解ダメゼッタイ！」,オモコロ編集部の3人が気になるニュースについて語ります。聞いても社会のことは何も知れません。,2023-01-22,https://omocoro.heteml.net/radio/watch/watch001.mp3,https://omocoro.jp/radio/379785/
3812211,NOW,ニュース！オモコロウォッチ！002「あなたのジェフを探しましょう」,オモコロ編集部の3人が気になるニュースについて語ります。聞いても社会のことは何も知れません。,2023-01-29,https://omocoro.heteml.net/radio/watch/watch002.mp3,https://omocoro.jp/radio/381221/
3826301,NOW,ニュース！オモコロウォッチ！003「疑え疑え疑うな」,オモコロ編集部の3人が気になるニュースについて語ります。聞いても社会のことは何も知れません。,2023-02-05,https://omocoro.heteml.net/radio/watch/watch003.mp3,https://omocoro.jp/radio/382630/
3840921,NOW,ニュース！オモコロウォッチ！004「.チャレンジ」,オモコロ編集部の3人が気になるニュースについて語ります。聞いても社会のことは何も知れません。,2023-02-12,https://omocoro.heteml.net/radio/watch/watch004.mp3,https://omocoro.jp/radio/384092/
3850341,NOW,ニュース！オモコロウォッチ！005「この期に及んでも いい人間でいたいのだ」,オモコロ編集部の3人が気になるニュースについて語ります。聞いても社会のことは何も知れません。,2023-02-19,https://omocoro.heteml.net/radio/watch/watch005.mp3,https://omocoro.jp/radio/385034/
3857391,NOW,ニュース！オモコロウォッチ！006「で、ソースは？」,オモコロ編集部の3人が気になるニュースについて語ります。聞いても社会のことは何も知れません。,2023-02-26,https://omocoro.heteml.net/radio/watch/watch006.mp3,https://omocoro.jp/radio/385739/
3871021,NOW,ニュース！オモコロウォッチ！007「終わってる会社のビジネス用語」,オモコロ編集部の3人が気になるニュースについて語ります。聞いても社会のことは何も知れません。,2023-03-05,https://omocoro.heteml.net/radio/watch/watch007.mp3,https://omocoro.jp/radio/387102/
3877731,NOW,ニュース！オモコロウォッチ！008「ものすごくうるさくてありえないほど近いチャーハン」,オモコロ編集部の3人が気になるニュースについて語ります。聞いても社会のことは何も知れません。,2023-03-12,https://omocoro.heteml.net/radio/watch/watch008.mp3,https://omocoro.jp/radio/387773/
3893151,NOW,ニュース！オモコロウォッチ！009「どこ見て齧りゃあ 褒めてくれんだよ」,オモコロ編集部の3人が気になるニュースについて語ります。聞いても社会のことは何も知れません。,2023-03-19,https://omocoro.heteml.net/radio/watch/watch009.mp3,https://omocoro.jp/radio/389315/
3901671,NOW,ニュース！オモコロウォッチ！010「KURAU～～！！！」,オモコロ編集部の3人が気になるニュースについて語ります。聞いても社会のことは何も知れません。,2023-03-26,https://omocoro.heteml.net/radio/watch/watch010.mp3,https://omocoro.jp/radio/390167/
3908461,NOW,ニュース！オモコロウォッチ！011「オモコロ杯 ～人間の底力～」,オモコロ編集部の3人が気になるニュースについて語ります。聞いても社会のことは何も知れません。,2023-04-02,https://omocoro.heteml.net/radio/watch/watch011.mp3,https://omocoro.jp/radio/390846/
3914311,NOW,ニュース！オモコロウォッチ！012「かいけいってなあに？」,オモコロ編集部の3人が気になるニュースについて語ります。聞いても社会のことは何も知れません。,2023-04-09,https://omocoro.heteml.net/radio/watch/watch012.mp3,https://omocoro.jp/radio/391431/
3927471,NOW,ニュース！オモコロウォッチ！013「ロボよ、もっと情けなく」,オモコロ編集部の3人が気になるニュースについて語ります。聞いても社会のことは何も知れません。,2023-04-16,https://omocoro.heteml.net/radio/watch/watch013.mp3,https://omocoro.jp/radio/392747/
3938071,NOW,ニュース！オモコロウォッチ！014「ありがとうの価値」,オモコロ編集部の3人が気になるニュースについて語ります。聞いても社会のことは何も知れません。,2023-04-23,https://omocoro.heteml.net/radio/watch/watch014.mp3,https://omocoro.jp/radio/393807/
3948501,NOW,ニュース！オモコロウォッチ！015「こんな時、何を食べればいいのかしら」,オモコロ編集部の3人が気になるニュースについて語ります。聞いても社会のことは何も知れません。,2023-04-30,https://omocoro.heteml.net/radio/watch/watch015.mp3,https://omocoro.jp/radio/394850/
3951551,NOW,ニュース！オモコロウォッチ！016「磁石先生 埋～め～」,オモコロ編集部の3人が気になるニュースについて語ります。聞いても社会のことは何も知れません。,2023-05-07,https://omocoro.heteml.net/radio/watch/watch016.mp3,https://omocoro.jp/radio/395155/
3963421,NOW,ニュース！オモコロウォッチ！017「ショータの石」,オモコロ編集部の3人が気になるニュースについて語ります。聞いても社会のことは何も知れません。,2023-05-14,https://omocoro.heteml.net/radio/watch/watch017.mp3,https://omocoro.jp/radio/396342/
3974221,NOW,ニュース！オモコロウォッチ！018「運営仕事して偉いね」,オモコロ編集部の3人が気になるニュースについて語ります。聞いても社会のことは何も知れません。,2023-05-21,https://omocoro.heteml.net/radio/watch/watch018.mp3,https://omocoro.jp/radio/397422/
3985491,NOW,ニュース！オモコロウォッチ！019「モチベーションを上げないで」,オモコロ編集部の3人が気になるニュースについて語ります。聞いても社会のことは何も知れません。,2023-05-28,https://omocoro.heteml.net/radio/watch/watch019.mp3,https://omocoro.jp/radio/398549/
4001291,NOW,ニュース！オモコロウォッチ！020「スマホ落としてダム放流（あるある探検隊？！）」,オモコロ編集部の3人が気になるニュースについて語ります。聞いても社会のことは何も知れません。,2023-06-04,https://omocoro.heteml.net/radio/watch/watch020.mp3,https://omocoro.jp/radio/400129/
4013791,NOW,ニュース！オモコロウォッチ！021「ぜいぜいでやらせてもらってます」,オモコロ編集部の3人が気になるニュースについて語ります。聞いても社会のことは何も知れません。,2023-06-11,https://omocoro.heteml.net/radio/watch/watch021.mp3,https://omocoro.jp/radio/401379/
4022001,NOW,ニュース！オモコロウォッチ！022「大学生がもらって嬉しいもの1位 ついに決定！」,オモコロ編集部の3人が気になるニュースについて語ります。聞いても社会のことは何も知れません。,2023-06-18,https://omocoro.heteml.net/radio/watch/watch022.mp3,https://omocoro.jp/radio/402200/
4034381,NOW,ニュース！オモコロウォッチ！023「得し続ける………灰になるまで………」,オモコロ編集部の3人が気になるニュースについて語ります。聞いても社会のことは何も知れません。,2023-06-25,https://omocoro.heteml.net/radio/watch/watch023.mp3,https://omocoro.jp/radio/403438/
4043901,NOW,ニュース！オモコロウォッチ！024「そして神話になる」,オモコロ編集部の3人が気になるニュースについて語ります。聞いても社会のことは何も知れません。,2023-07-02,https://omocoro.heteml.net/radio/watch/watch024.mp3,https://omocoro.jp/radio/404390/
4049121,NOW,ニュース！オモコロウォッチ！025「拡散ザル3匹よ 何処へ行く」,オモコロ編集部の3人が気になるニュースについて語ります。聞いても社会のことは何も知れません。,2023-07-09,https://omocoro.heteml.net/radio/watch/watch025.mp3,https://omocoro.jp/radio/404912/
4059151,NOW,ニュース！オモコロウォッチ！026「君たちはどう生きるか最速感想ラジオ」,オモコロ編集部の3人が気になるニュースについて語ります。聞いても社会のことは何も知れません。,2023-07-16,https://omocoro.heteml.net/radio/watch/watch026.mp3,https://omocoro.jp/radio/405915/
4070281,NOW,ニュース！オモコロウォッチ！027「ちいちゃいバイオリンにご用心」,オモコロ編集部の3人が気になるニュースについて語ります。聞いても社会のことは何も知れません。,2023-07-23,https://omocoro.heteml.net/radio/watch/watch027.mp3,https://omocoro.jp/radio/407028/
4079611,NOW,ニュース！オモコロウォッチ！028「あなたは目を売りますか？」,オモコロ編集部の3人が気になるニュースについて語ります。聞いても社会のことは何も知れません。,2023-07-30,https://omocoro.heteml.net/radio/watch/watch028.mp3,https://omocoro.jp/radio/407961/
4093381,NOW,ニュース！オモコロウォッチ！029「フンのBANのBAN　BANのBANのフン」,オモコロ編集部の3人が気になるニュースについて語ります。聞いても社会のことは何も知れません。,2023-08-06,https://omocoro.heteml.net/radio/watch/watch029.mp3,https://omocoro.jp/radio/409338/
4111761,NOW,ニュース！オモコロウォッチ！030「知っていますか？ UNOの正しいルールを」,オモコロ編集部の3人が気になるニュースについて語ります。聞いても社会のことは何も知れません。,2023-08-13,https://omocoro.heteml.net/radio/watch/watch030.mp3,https://omocoro.jp/radio/411176/
4121091,NOW,ニュース！オモコロウォッチ！031「罪人は首を切るきん」,オモコロ編集部の3人が気になるニュースについて語ります。聞いても社会のことは何も知れません。,2023-08-20,https://omocoro.heteml.net/radio/watch/watch031.mp3,https://omocoro.jp/radio/412109/
4131321,NOW,ニュース！オモコロウォッチ！032「ショッベマンX」,オモコロ編集部の3人が気になるニュースについて語ります。聞いても社会のことは何も知れません。,2023-08-27,https://omocoro.heteml.net/radio/watch/watch032.mp3,https://omocoro.jp/radio/413132/
4139041,NOW,ニュース！オモコロウォッチ！033「永久に不滅なんておこがましいとは思わんかね」,オモコロ編集部の3人が気になるニュースについて語ります。聞いても社会のことは何も知れません。,2023-09-03,https://omocoro.heteml.net/radio/watch/watch033.mp3,https://omocoro.jp/radio/413904/
4147231,NOW,ニュース！オモコロウォッチ！034「古賀、古賀だよなぁ」,オモコロ編集部の3人が気になるニュースについて語ります。聞いても社会のことは何も知れません。,2023-09-10,https://omocoro.heteml.net/radio/watch/watch034.mp3,https://omocoro.jp/radio/414723/
4158681,NOW,ニュース！オモコロウォッチ！035「ベビーはどこへ消えた」,オモコロ編集部の3人が気になるニュースについて語ります。聞いても社会のことは何も知れません。,2023-09-17,https://omocoro.heteml.net/radio/watch/watch035.mp3,https://omocoro.jp/radio/415868/
4171291,NOW,ニュース！オモコロウォッチ！036「50％の50％の50％の50％」,オモコロ編集部の3人が気になるニュースについて語ります。聞いても社会のことは何も知れません。,2023-09-24,https://omocoro.heteml.net/radio/watch/watch036.mp3,https://omocoro.jp/radio/417129/
4180151,NOW,ニュース！オモコロウォッチ！037「さみしいよお。」,オモコロ編集部の3人が気になるニュースについて語ります。聞いても社会のことは何も知れません。,2023-10-01,https://omocoro.heteml.net/radio/watch/watch037.mp3,https://omocoro.jp/radio/418015/
