,channel,title,description,pub_date,mp3_url,article_url
2061801,Onsei Housou,【0】マンスーン・ヤスミノの音声放送「ここにタイトルを入れる」,仮です,2019-11-12,https://omocoro.heteml.net/radio/kayouradio/000/000.mp3,https://omocoro.jp/radio/206180/
2068611,Onsei Housou,【1】マンスーン・ヤスミノの音声放送「すみっコぐらし」,35億円,2019-11-19,https://omocoro.heteml.net/radio/kayouradio/001/001.mp3,https://omocoro.jp/radio/206861/
2073311,Onsei Housou,【2】マンスーン・ヤスミノの音声放送「墓参りに人を呼ぶには」,東スポと墓参りの話,2019-11-26,https://omocoro.heteml.net/radio/kayouradio/002/03.mp3,https://omocoro.jp/radio/207331/
2100951,Onsei Housou,【3】マンスーン・ヤスミノの音声放送「母親の呼び方」,マンスーン、高尾山に登る,2019-12-03,https://omocoro.heteml.net/radio/kayouradio/003/radio03.mp3,https://omocoro.jp/radio/210095/
2115391,Onsei Housou,【4】マンスーン・ヤスミノの音声放送「ベスト・オブ・ザ・イヤー」,欽きらリン530,2019-12-10,https://omocoro.heteml.net/radio/kayouradio/004/004.mp3,https://omocoro.jp/radio/211539/
2121151,Onsei Housou,【5】マンスーン・ヤスミノの音声放送「YMO」,ドキド欽ちゃんスピリッツ!!,2019-12-17,https://omocoro.heteml.net/radio/kayouradio/005/005.mp3,https://omocoro.jp/radio/212115/
2130631,Onsei Housou,【6】マンスーン・ヤスミノの音声放送「新企画 フリー音源ディグ」,欽ちゃんの向こう三軒両隣,2019-12-24,https://omocoro.heteml.net/radio/kayouradio/006/006.mp3,https://omocoro.jp/radio/213063/
2143081,Onsei Housou,【7】マンスーン・ヤスミノの音声放送「親戚の距離感」,ここに書くことがないんで今まで欽ちゃんの番組名書いてたんですけどもうやめますね,2020-01-07,https://omocoro.heteml.net/radio/kayouradio/007/007.mp3,https://omocoro.jp/radio/214308/
2147801,Onsei Housou,【8】マンスーン・ヤスミノの音声放送「アパート探し」,アパートを失うヤスミノ。YouTube依存のマンスーン。,2020-01-14,https://omocoro.heteml.net/radio/kayouradio/008/008.mp3,https://omocoro.jp/radio/214780/
2159861,Onsei Housou,【9】マンスーン・ヤスミノの音声放送「クリームシチュー」,シチューで白米は食えるのか？,2020-01-21,https://omocoro.heteml.net/radio/kayouradio/009/009.mp3,https://omocoro.jp/radio/215986/
2170781,Onsei Housou,【10】マンスーン・ヤスミノの音声放送「新居へ建物探訪」,ヤスミノが引っ越しました。,2020-01-28,https://omocoro.heteml.net/radio/kayouradio/010/010.mp3,https://omocoro.jp/radio/217078/
2180321,Onsei Housou,【11】マンスーン・ヤスミノの音声放送「立ち振る舞いについて」,Somebody's Watching You,2020-02-04,https://omocoro.heteml.net/radio/kayouradio/011/011.mp3,https://omocoro.jp/radio/218032/
2194941,Onsei Housou,【12】マンスーン・ヤスミノの音声放送「2011年のテレビアニメ」,2011年のテレビアニメの話をするだけの回,2020-02-11,https://omocoro.heteml.net/radio/kayouradio/012/012.mp3,https://omocoro.jp/radio/219494/
2205101,Onsei Housou,【13】マンスーン・ヤスミノの音声放送「リサイクルショップに行きました」,龍ケ崎市にあるリサイクルショップに行ってきました,2020-02-18,https://omocoro.heteml.net/radio/kayouradio/013/013.mp3,https://omocoro.jp/radio/220510/
2210021,Onsei Housou,【14】マンスーン・ヤスミノの音声放送「ちっちゃい生活の知恵と出会い」,ゴミって増えるんですよ,2020-02-25,https://omocoro.heteml.net/radio/kayouradio/014/014.mp3,https://omocoro.jp/radio/221002/
2220441,Onsei Housou,【15】マンスーン・ヤスミノの音声放送「STOP！映画の観てるふり」,「観てない」ってちゃんと言います。,2020-03-03,https://omocoro.heteml.net/radio/kayouradio/015/015.mp3,https://omocoro.jp/radio/222044/
