,channel,title,description,pub_date,mp3_url,article_url
845851,Tokumei Radio,【001】ARuFa・恐山の匿名ラジオ「キックボード」,たぶん毎週木曜日に更新されますので、よろしくお願いします。,2016-06-23 00:00:01,https://omocoro.heteml.net/radio/tokumei/001.mp3,https://omocoro.jp/rensai/84585/
846841,Tokumei Radio,【002】ARuFa・恐山の匿名ラジオ「深海で屁をこきたい」,,2016-06-30 00:00:01,https://omocoro.heteml.net/radio/tokumei/002.mp3,https://omocoro.jp/rensai/84684/
854711,Tokumei Radio,【003】ARuFa・恐山の匿名ラジオ「コーナーを作ろう」,「嘘の面白い話」を募集します。,2016-07-07 00:00:01,https://omocoro.heteml.net/radio/tokumei/003.mp3,https://omocoro.jp/rensai/85471/
859301,Tokumei Radio,【004】ARuFa・恐山の匿名ラジオ「やってはいけないこと」,やったら人生終わる妄想を話す回です。,2016-07-14 00:00:01,https://omocoro.heteml.net/radio/tokumei/004.mp3,https://omocoro.jp/rensai/85930/
865351,Tokumei Radio,【005】ARuFa・恐山の匿名ラジオ「発表！みんなの考えた『ウソの面白い話』」,みんなが送ってくれた「ウソの面白い話」を読む回です。全部嘘です。,2016-07-21 00:00:01,https://omocoro.heteml.net/radio/tokumei/005.mp3,https://omocoro.jp/rensai/86535/
871961,Tokumei Radio,【006】ARuFa・恐山の匿名ラジオ「女の子がしてたら「いいなぁ」って思うバイトの話」,女の子が夏休みの間にしていたら良いなってなるバイトの話をしています。,2016-07-28 00:00:01,https://omocoro.heteml.net/radio/tokumei/006.mp3,https://omocoro.jp/rensai/87196/
881441,Tokumei Radio,【007】ARuFa・恐山の匿名ラジオ「発表！ みんなの『おわりスイッチ』」,,2016-08-04 00:00:01,https://omocoro.heteml.net/radio/tokumei/007.mp3,https://omocoro.jp/rensai/88144/
886461,Tokumei Radio,【008】ARuFa・恐山の匿名ラジオ「カラスとエレベーターの話」,ARuFa・恐山の匿名ラジオ。第8回は「カラスとエレベーターの話」です。,2016-08-11 00:00:01,https://omocoro.heteml.net/radio/tokumei/008.mp3,https://omocoro.jp/rensai/88646/
890411,Tokumei Radio,【009】ARuFa・恐山の匿名ラジオ「ARuFaが5分で洗髪するだけ」,ARuFa・恐山の匿名ラジオ。第9回は「ARuFaが5分で洗髪するだけ」です。,2016-08-18 00:00:01,https://omocoro.heteml.net/radio/tokumei/009.mp3,https://omocoro.jp/rensai/89041/
895651,Tokumei Radio,【010】ARuFa・恐山の匿名ラジオ「世間とズレた感覚をチューニングしよう」,ARuFa・恐山の匿名ラジオ。第10回は「世間とズレた感覚をチューニングしよう」です。,2016-08-25 00:00:01,https://omocoro.heteml.net/radio/tokumei/010.mp3,https://omocoro.jp/rensai/89565/
898931,Tokumei Radio,【スペシャルウィーク】ARuFa・永田のシャッフルコンビラジオ,,2016-08-29 00:00:01,https://omocoro.heteml.net/radio/sp/arunaga01.mp3,https://omocoro.jp/rensai/89893/
898932,Tokumei Radio,【スペシャルウィーク】ARuFa・永田のシャッフルコンビラジオ,,2016-08-29 00:00:02,https://omocoro.heteml.net/radio/sp/arunaga02.mp3,https://omocoro.jp/rensai/89893/
899811,Tokumei Radio,【スペシャルウィーク】室木おすし・恐山のシャッフルコンビラジオ,渋谷LOFT9にて行われた「オモコロラジオ祭」内の企画で誕生したシャッフルコンビによる一夜限定のラジオ！,2016-08-30 00:00:01,https://omocoro.heteml.net/radio/sp/osusirezan.mp3,https://omocoro.jp/rensai/89981/
905851,Tokumei Radio,【011】ARuFa・恐山の匿名ラジオ「大人になったなぁと思うこと」,ARuFa・恐山の匿名ラジオ。第11回は「大人になったなぁと思うこと」です。,2016-09-08 00:00:01,https://omocoro.heteml.net/radio/tokumei/011.mp3,https://omocoro.jp/rensai/90585/
909351,Tokumei Radio,【012】ARuFa・恐山の匿名ラジオ「海の家とおたよりコーナー」,ARuFa・恐山の匿名ラジオ。第12回は「海の家とおたよりコーナー」です。,2016-09-15 00:00:01,https://omocoro.heteml.net/radio/tokumei/012.mp3,https://omocoro.jp/rensai/90935/
915491,Tokumei Radio,【013】ARuFa・恐山の匿名ラジオ「一度は言いたいセリフ『とにかく服を着てくれ～！』」,ARuFa・恐山の匿名ラジオ。第13回は「一度は言いたいセリフ『とにかく服を着てくれ～！』 」です。,2016-09-22 00:00:01,https://omocoro.heteml.net/radio/tokumei/013.mp3,https://omocoro.jp/rensai/91549/
922031,Tokumei Radio,【014】ARuFa・恐山の匿名ラジオ「【ワロス】ネットスラングってどう思う？【ｗ】」,ARuFa・恐山の匿名ラジオ。第14回は「【ワロス】ネットスラングってどう思う？【ｗ】 」ですwwwwwww,2016-09-29 00:00:01,https://omocoro.heteml.net/radio/tokumei/014.mp3,https://omocoro.jp/rensai/92203/
928021,Tokumei Radio,【015】ARuFa・恐山の匿名ラジオ「ジジイのユーモアには気をつけろ！」,ARuFa・恐山の匿名ラジオ。第15回は「ジジイのユーモアには気をつけろ！」です。,2016-10-06 00:00:01,https://omocoro.heteml.net/radio/tokumei/015.mp3,https://omocoro.jp/rensai/92802/
935591,Tokumei Radio,【016】ARuFa・恐山の匿名ラジオ「これからはヤバリーマン川柳が来る！」,ARuFa・恐山の匿名ラジオ。第16回は「これからはヤバリーマン川柳が来る！」です。,2016-10-13 00:00:01,https://omocoro.heteml.net/radio/tokumei/016.mp3,https://omocoro.jp/rensai/93559/
942111,Tokumei Radio,【017】ARuFa・恐山の匿名ラジオ「決定！ 対・ジジイユーモア大賞」,ARuFa・恐山の匿名ラジオ。第17回は「決定！ 対・ジジイユーモア大賞！」です。,2016-10-20 00:00:01,https://omocoro.heteml.net/radio/tokumei/017.mp3,https://omocoro.jp/rensai/94211/
945791,Tokumei Radio,【018】ARuFa・恐山の匿名ラジオ「勘弁して！映画館にいる嫌な客の話」,ARuFa・恐山の匿名ラジオ。第18回は「勘弁して！映画館にいる嫌な客の話」です。,2016-10-27 00:00:01,https://omocoro.heteml.net/radio/tokumei/018.mp3,https://omocoro.jp/rensai/94579/
950861,Tokumei Radio,【019】ARuFa・恐山の匿名ラジオ「趣味なさすぎて人生スッカスカ問題」,ARuFa・恐山の匿名ラジオ。第19回は「趣味なさすぎて人生スッカスカ問題」です。,2016-11-03 00:00:01,https://omocoro.heteml.net/radio/tokumei/019.mp3,https://omocoro.jp/rensai/95086/
955731,Tokumei Radio,【020】ARuFa・恐山の匿名ラジオ「みんな！『秋』にダマされるな！」,ARuFa・恐山の匿名ラジオ。第20回は「みんな！『秋』にダマされるな！」です。,2016-11-10 00:00:01,https://omocoro.heteml.net/radio/tokumei/020.mp3,https://omocoro.jp/rensai/95573/
959871,Tokumei Radio,【021】ARuFa・恐山の匿名ラジオ「決定！みんなの『ヤバリーマン川柳』大賞」,ARuFa・恐山の匿名ラジオ。第21回は「決定！みんなの『ヤバリーマン川柳』大賞」です。,2016-11-17 00:00:01,https://omocoro.heteml.net/radio/tokumei/021.mp3,https://omocoro.jp/rensai/95987/
965361,Tokumei Radio,【022】ARuFa・恐山の匿名ラジオ「ヤフー知恵袋の人生相談に勝手に答えよう！」,ARuFa・恐山の匿名ラジオ。第22回は「人生相談に勝手に答えよう」です。,2016-11-24 00:00:01,https://omocoro.heteml.net/radio/tokumei/022.mp3,https://omocoro.jp/rensai/96536/
972161,Tokumei Radio,【023】ARuFa・恐山の匿名ラジオ「ラーメン屋での立ち振る舞いで人間性がわかる」,ARuFa・恐山の匿名ラジオ。第23回は「ラーメン屋での立ち振る舞いで人間性がわかる」です。,2016-12-01 00:00:01,https://omocoro.heteml.net/radio/tokumei/023.mp3,https://omocoro.jp/rensai/97216/
978731,Tokumei Radio,【024】ARuFa・恐山の匿名ラジオ「おたよりコーナーと両津勘吉のモノマネ」,ARuFa・恐山の匿名ラジオ。第24回は「おたよりコーナーと両津勘吉のモノマネ」です。,2016-12-08 00:00:01,https://omocoro.heteml.net/radio/tokumei/024.mp3,https://omocoro.jp/rensai/97873/
984201,Tokumei Radio,【025】ARuFa・恐山の匿名ラジオ「お互いを知るために『カルトクイズ』を出し合おう」,ARuFa・恐山の匿名ラジオ。第25回は「お互いを知るために『カルトクイズ』を出し合おう」です。,2016-12-15 00:00:01,https://omocoro.heteml.net/radio/tokumei/025.mp3,https://omocoro.jp/rensai/98420/
